video_id,frame_index,timestamp,quality_status,face_detected,face_confidence,mouth_status
acceptance_multimodal_300,162,6.48,valid,True,0.8879,extracted
acceptance_multimodal_300,163,6.52,valid,True,0.7624,extracted
acceptance_multimodal_300,166,6.64,valid,True,0.7957,extracted
acceptance_multimodal_300,167,6.68,valid,True,0.8132,extracted
acceptance_multimodal_300,169,6.76,valid,True,0.8585,extracted
acceptance_multimodal_300,170,6.8,valid,True,0.889,extracted
acceptance_multimodal_300,173,6.92,valid,True,0.9492,extracted
acceptance_multimodal_300,176,7.04,valid,True,0.897,extracted
acceptance_multimodal_300,179,7.16,valid,True,0.7139,extracted
acceptance_multimodal_300,180,7.2,valid,True,0.7027,extracted
acceptance_multimodal_300,182,7.28,valid,True,0.864,extracted
acceptance_multimodal_300,183,7.32,valid,True,0.8453,extracted
acceptance_multimodal_300,185,7.4,valid,True,0.9076,extracted
acceptance_multimodal_300,187,7.48,valid,True,0.8394,extracted
acceptance_multimodal_300,189,7.56,valid,True,0.9301,extracted
acceptance_multimodal_300,190,7.6,valid,True,0.8498,extracted
acceptance_multimodal_300,192,7.68,valid,True,0.8644,extracted
acceptance_multimodal_300,193,7.72,valid,True,0.8322,extracted
acceptance_multimodal_300,195,7.8,valid,True,0.8969,extracted
acceptance_multimodal_300,196,7.84,valid,True,0.8988,extracted
acceptance_multimodal_300,199,7.96,valid,True,0.7616,extracted
acceptance_multimodal_300,200,8.0,valid,True,0.7901,extracted
acceptance_multimodal_300,202,8.08,valid,True,0.8661,extracted
acceptance_multimodal_300,203,8.12,valid,True,0.845,extracted
acceptance_multimodal_300,205,8.2,valid,True,0.9167,extracted
acceptance_multimodal_300,206,8.24,valid,True,0.8733,extracted
acceptance_multimodal_300,207,8.28,valid,True,0.7556,extracted
acceptance_multimodal_300,209,8.36,valid,True,0.7803,extracted
acceptance_multimodal_300,210,8.4,valid,True,0.7222,extracted
acceptance_multimodal_300,212,8.48,valid,True,0.9334,extracted
acceptance_multimodal_300,213,8.52,valid,True,0.9147,extracted
acceptance_multimodal_300,215,8.6,valid,True,0.8901,extracted
acceptance_multimodal_300,216,8.64,valid,True,0.891,extracted
acceptance_multimodal_300,217,8.68,valid,True,0.9615,extracted
acceptance_multimodal_300,219,8.76,valid,True,0.7386,extracted
acceptance_multimodal_300,220,8.8,valid,True,0.9145,extracted
acceptance_multimodal_300,222,8.88,valid,True,0.8304,extracted
acceptance_multimodal_300,227,9.08,valid,True,0.8446,extracted
acceptance_multimodal_300,229,9.16,valid,True,0.8507,extracted
acceptance_multimodal_300,232,9.28,valid,True,0.8882,extracted
acceptance_multimodal_300,233,9.32,valid,True,0.9222,extracted
acceptance_multimodal_300,235,9.4,valid,True,0.8457,extracted
acceptance_multimodal_300,236,9.44,valid,True,0.8456,extracted
acceptance_multimodal_300,237,9.48,valid,True,0.8692,extracted
acceptance_multimodal_300,239,9.56,valid,True,0.8703,extracted
acceptance_multimodal_300,240,9.6,valid,True,0.7719,extracted
acceptance_multimodal_300,242,9.68,valid,True,0.7435,extracted
acceptance_multimodal_300,243,9.72,valid,True,0.8991,extracted
acceptance_multimodal_300,246,9.84,valid,True,0.727,extracted
acceptance_multimodal_300,247,9.88,valid,True,0.8348,extracted
acceptance_multimodal_300,249,9.96,valid,True,0.8217,extracted
acceptance_multimodal_300,250,10.0,valid,True,0.7804,extracted
acceptance_multimodal_300,252,10.08,valid,True,0.7186,extracted
acceptance_multimodal_300,253,10.12,valid,True,0.907,extracted
acceptance_multimodal_300,255,10.2,valid,True,0.8482,extracted
acceptance_multimodal_300,256,10.24,valid,True,0.8271,extracted
acceptance_multimodal_300,258,10.32,valid,True,0.9615,extracted
acceptance_multimodal_300,259,10.36,valid,True,0.8945,extracted
acceptance_multimodal_300,262,10.48,valid,True,0.8875,extracted
acceptance_multimodal_300,263,10.52,valid,True,0.7655,extracted
acceptance_multimodal_300,265,10.6,valid,True,0.7258,extracted
acceptance_multimodal_300,266,10.64,valid,True,0.7991,extracted
acceptance_multimodal_300,268,10.72,valid,True,0.8919,extracted
acceptance_multimodal_300,269,10.76,valid,True,0.8673,extracted
acceptance_multimodal_300,270,10.8,valid,True,0.9122,extracted
acceptance_multimodal_300,273,10.92,valid,True,0.8771,extracted
acceptance_multimodal_300,278,11.12,valid,True,0.844,extracted
acceptance_multimodal_300,279,11.16,valid,True,0.7834,extracted
acceptance_multimodal_300,282,11.28,valid,True,0.7224,extracted
acceptance_multimodal_300,283,11.32,valid,True,0.869,extracted
acceptance_multimodal_300,285,11.4,valid,True,0.9039,extracted
acceptance_multimodal_300,288,11.52,valid,True,0.7757,extracted
acceptance_multimodal_300,289,11.56,valid,True,0.9308,extracted
acceptance_multimodal_300,290,11.6,valid,True,0.8689,extracted
acceptance_multimodal_300,292,11.68,valid,True,0.8617,extracted
acceptance_multimodal_300,293,11.72,valid,True,0.8206,extracted
acceptance_multimodal_300,295,11.8,valid,True,0.9296,extracted
acceptance_multimodal_300,296,11.84,valid,True,0.9226,extracted
acceptance_multimodal_300,299,11.96,valid,True,0.824,extracted
