video_id,frame_index,timestamp,quality_status,face_detected,face_confidence,gate_value,spatial_dim,frequency_dim,fused_dim
acceptance_300_frames,166,6.64,valid,True,0.9681,0.4991,256,256,256
acceptance_300_frames,167,6.68,valid,True,0.9724,0.499,256,256,256
acceptance_300_frames,169,6.76,valid,True,0.9628,0.499,256,256,256
acceptance_300_frames,170,6.8,valid,True,0.9248,0.4991,256,256,256
acceptance_300_frames,176,7.04,valid,True,0.7813,0.4992,256,256,256
acceptance_300_frames,177,7.08,valid,True,0.7492,0.4991,256,256,256
acceptance_300_frames,179,7.16,valid,True,0.7892,0.4992,256,256,256
acceptance_300_frames,180,7.2,valid,True,0.761,0.4991,256,256,256
acceptance_300_frames,182,7.28,valid,True,0.7127,0.4992,256,256,256
acceptance_300_frames,183,7.32,valid,True,0.8032,0.4991,256,256,256
acceptance_300_frames,185,7.4,valid,True,0.9666,0.4991,256,256,256
acceptance_300_frames,186,7.44,valid,True,0.9402,0.4991,256,256,256
acceptance_300_frames,187,7.48,valid,True,0.9074,0.4991,256,256,256
acceptance_300_frames,189,7.56,valid,True,0.9107,0.4991,256,256,256
acceptance_300_frames,190,7.6,valid,True,0.7615,0.4991,256,256,256
acceptance_300_frames,192,7.68,valid,True,0.7892,0.4992,256,256,256
acceptance_300_frames,193,7.72,valid,True,0.7899,0.4992,256,256,256
acceptance_300_frames,195,7.8,valid,True,0.8802,0.4991,256,256,256
acceptance_300_frames,196,7.84,valid,True,0.9309,0.4991,256,256,256
acceptance_300_frames,205,8.2,valid,True,0.7071,0.4991,256,256,256
acceptance_300_frames,206,8.24,valid,True,0.8739,0.499,256,256,256
acceptance_300_frames,207,8.28,valid,True,0.8208,0.499,256,256,256
acceptance_300_frames,209,8.36,valid,True,0.7453,0.4991,256,256,256
acceptance_300_frames,212,8.48,valid,True,0.7126,0.4991,256,256,256
acceptance_300_frames,213,8.52,valid,True,0.7291,0.499,256,256,256
acceptance_300_frames,215,8.6,valid,True,0.7411,0.4991,256,256,256
acceptance_300_frames,216,8.64,valid,True,0.9758,0.4991,256,256,256
acceptance_300_frames,217,8.68,valid,True,0.9781,0.4992,256,256,256
acceptance_300_frames,219,8.76,valid,True,0.9772,0.499,256,256,256
acceptance_300_frames,220,8.8,valid,True,0.974,0.499,256,256,256
acceptance_300_frames,222,8.88,valid,True,0.9731,0.4991,256,256,256
acceptance_300_frames,223,8.92,valid,True,0.9731,0.4991,256,256,256
acceptance_300_frames,225,9.0,valid,True,0.9245,0.499,256,256,256
acceptance_300_frames,226,9.04,valid,True,0.9566,0.499,256,256,256
acceptance_300_frames,227,9.08,valid,True,0.9743,0.499,256,256,256
acceptance_300_frames,229,9.16,valid,True,0.9628,0.499,256,256,256
acceptance_300_frames,230,9.2,valid,True,0.9248,0.4991,256,256,256
acceptance_300_frames,236,9.44,valid,True,0.7813,0.4992,256,256,256
acceptance_300_frames,237,9.48,valid,True,0.7492,0.4991,256,256,256
acceptance_300_frames,239,9.56,valid,True,0.7892,0.4992,256,256,256
acceptance_300_frames,240,9.6,valid,True,0.7226,0.4992,256,256,256
acceptance_300_frames,242,9.68,valid,True,0.762,0.4992,256,256,256
acceptance_300_frames,243,9.72,valid,True,0.847,0.4992,256,256,256
acceptance_300_frames,245,9.8,valid,True,0.9675,0.4991,256,256,256
acceptance_300_frames,246,9.84,valid,True,0.8797,0.4991,256,256,256
acceptance_300_frames,247,9.88,valid,True,0.9082,0.4991,256,256,256
acceptance_300_frames,249,9.96,valid,True,0.9102,0.4991,256,256,256
acceptance_300_frames,250,10.0,valid,True,0.7368,0.4991,256,256,256
acceptance_300_frames,252,10.08,valid,True,0.7892,0.4992,256,256,256
acceptance_300_frames,253,10.12,valid,True,0.7899,0.4992,256,256,256
acceptance_300_frames,255,10.2,valid,True,0.8802,0.4991,256,256,256
acceptance_300_frames,256,10.24,valid,True,0.9309,0.4991,256,256,256
acceptance_300_frames,262,10.48,valid,True,0.7153,0.4991,256,256,256
acceptance_300_frames,265,10.6,valid,True,0.7071,0.4991,256,256,256
acceptance_300_frames,266,10.64,valid,True,0.8739,0.499,256,256,256
acceptance_300_frames,268,10.72,valid,True,0.7761,0.4991,256,256,256
acceptance_300_frames,269,10.76,valid,True,0.7453,0.4991,256,256,256
acceptance_300_frames,272,10.88,valid,True,0.7126,0.4991,256,256,256
acceptance_300_frames,273,10.92,valid,True,0.7291,0.499,256,256,256
acceptance_300_frames,275,11.0,valid,True,0.7411,0.4991,256,256,256
acceptance_300_frames,276,11.04,valid,True,0.9758,0.4991,256,256,256
acceptance_300_frames,278,11.12,valid,True,0.9781,0.4991,256,256,256
acceptance_300_frames,279,11.16,valid,True,0.9772,0.499,256,256,256
acceptance_300_frames,280,11.2,valid,True,0.9407,0.4991,256,256,256
acceptance_300_frames,282,11.28,valid,True,0.9725,0.499,256,256,256
acceptance_300_frames,283,11.32,valid,True,0.9725,0.4991,256,256,256
acceptance_300_frames,285,11.4,valid,True,0.9561,0.499,256,256,256
acceptance_300_frames,286,11.44,valid,True,0.9681,0.4991,256,256,256
acceptance_300_frames,288,11.52,valid,True,0.9733,0.499,256,256,256
acceptance_300_frames,289,11.56,valid,True,0.9628,0.499,256,256,256
acceptance_300_frames,290,11.6,valid,True,0.9628,0.499,256,256,256
acceptance_300_frames,296,11.84,valid,True,0.7534,0.4992,256,256,256
acceptance_300_frames,298,11.92,valid,True,0.8633,0.499,256,256,256
acceptance_300_frames,299,11.96,valid,True,0.886,0.499,256,256,256
